n_fourier,sample_length,BIG_DATASET,loss,accuracy
512,0.25,False,0.29930734634399414,0.9322916865348816
1024,0.25,False,0.2538723349571228,0.9427083134651184
2048,0.25,False,0.27022337913513184,0.9479166865348816
4096,0.25,False,0.33372387290000916,0.921875
512,0.5,False,0.11053945869207382,0.95652174949646
1024,0.5,False,0.24634356796741486,0.945652186870575
2048,0.5,False,0.08777281641960144,0.97826087474823
4096,0.5,False,0.16347214579582214,0.9347826242446899
