n_fourier,sample_length,BIG_DATASET,loss,accuracy
4096,0.25,False,0.149030864238739,0.953125
2048,0.25,False,0.07638382166624069,0.9635416865348816
1024,0.25,False,0.09570207446813583,0.9635416865348816
512,0.25,False,0.2866918742656708,0.9479166865348816
4096,0.5,False,0.039290040731430054,0.97826087474823
2048,0.5,False,0.1880873739719391,0.9347826242446899
1024,0.5,False,0.23126643896102905,0.967391312122345
512,0.5,False,0.4488607347011566,0.9130434989929199
